2026-03-23 19:15:07 [warning  ] Bundled web UI not mounted; build directory missing expected_paths=['C:\\Users\\Zippy\\Documents\\GitHub\\AudioBookRequest\\app\\static\\ui', 'C:\\Users\\Zippy\\Documents\\GitHub\\AudioBookRequest\\NarrarrUI\\build\\web']
INFO:     127.0.0.1:6892 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:6892 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:6892 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:61843 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:4300 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:4300 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:4300 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:4300 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:4300 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:63135 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:41218 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:41218 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:41218 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:41218 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:41218 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:20211 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:21703 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:21703 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:21703 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:21703 - "OPTIONS /api/settings/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:21703 - "GET /api/settings/stats HTTP/1.1" 401 Unauthorized
INFO:     127.0.0.1:21252 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:21253 - "GET /api/auth/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:21254 - "GET /api/auth/me HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:21269 - "GET /openapi.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:21271 - "GET /docs HTTP/1.1" 200 OK
INFO:     127.0.0.1:1396 - "GET /ui/config.json HTTP/1.1" 200 OK
INFO:     127.0.0.1:45180 - "GET /ui/config.json HTTP/1.1" 200 OK
